Date,Open,High,Low,Close,Price_9AM,Price_10AM,Action,Order_Amount,Portfolio_Value,Cash,Shares
2023-03-01,1014.22,1023.83,966.18,998.64,1037.29,1038.95,buy,9000.0,9594.403999999999,1605.2839999999997,8
2023-03-02,1007.12,1054.3,1001.6,1021.38,1022.49,997.71,hold,,9776.324,1605.2839999999997,8
2023-03-03,1015.47,1039.87,997.74,1005.41,991.48,979.67,buy,1444.7555999999995,9664.507300000001,615.8172999999997,9
2023-03-06,1003.79,1060.64,990.75,1036.09,1012.58,1013.57,hold,,9940.6273,615.8172999999997,9
2023-03-07,1043.04,1100.17,1034.35,1088.54,1069.22,1053.37,buy,554.2355699999997,10412.6773,615.8172999999997,9
2023-03-08,1098.96,1150.16,1096.97,1134.33,1132.8,1115.05,hold,,10824.7873,615.8172999999997,9
2023-03-09,1145.95,1177.7,1141.24,1157.5,1158.87,1171.52,hold,,11033.317299999999,615.8172999999997,9
2023-03-10,1162.92,1228.44,1161.76,1216.79,1203.07,1192.79,hold,,11566.9273,615.8172999999997,9
2023-03-13,1215.75,1272.54,1212.65,1270.74,1237.93,1235.9,buy,554.2355699999997,12052.477299999999,615.8172999999997,9
2023-03-14,1257.91,1311.27,1126.04,1182.91,1210.19,1229.98,hold,,11262.007300000001,615.8172999999997,9
2023-03-15,1178.55,1192.31,1155.7,1174.7,1163.81,1194.5,sell,8.0,11250.957300000002,10076.257300000001,1
2023-03-16,1180.39,1235.6,1172.92,1224.63,1157.24,1182.31,hold,,11300.887300000002,10076.257300000001,1
2023-03-17,1224.67,1244.57,1204.36,1227.45,1206.12,1197.4,buy,9068.63157,11430.239300000001,1610.6393000000007,8
2023-03-20,1200.69,1280.27,1193.29,1279.15,1274.88,1299.55,sell,7.0,11895.6708,10616.5208,1
2023-03-21,1281.09,1359.73,1268.07,1336.51,1313.26,1349.62,sell,0.0,11953.0308,10616.5208,1
2023-03-22,1330.66,1403.55,1301.16,1382.77,1318.9,1327.01,buy,9554.868719999999,12296.7201,1234.5601000000006,8
2023-03-23,1415.24,1471.29,1391.14,1468.71,1349.29,1372.68,hold,,12984.2401,1234.5601000000006,8
2023-03-24,1445.75,1657.68,1439.73,1586.66,1491.08,1496.88,hold,,13927.840100000001,1234.5601000000006,8
2023-03-27,1608.72,1648.38,1569.79,1624.15,1554.19,1593.6,buy,1111.1040900000005,14227.760100000001,1234.5601000000006,8
2023-03-28,1616.9,1635.13,1591.13,1612.53,1617.34,1643.77,hold,,14134.8001,1234.5601000000006,8
2023-03-29,1601.93,1693.7,1572.0,1683.33,1631.15,1660.57,buy,1111.1040900000005,14701.2001,1234.5601000000006,8
2023-03-30,1681.72,1716.11,1636.88,1703.02,1679.07,1698.55,hold,,14858.7201,1234.5601000000006,8
2023-03-31,1697.63,1757.79,1644.14,1669.76,1700.59,1752.41,sell,7.0,15048.521400000001,13378.761400000001,1
